Date,Open,High,Low,Close,Volume,Market Cap
2019-01-03,0.002697,0.003085,0.002582,0.003074,5882,
2019-01-04,0.003074,0.004788,0.002687,0.003369,21651,
2019-01-05,0.003361,0.004931,0.003006,0.003353,6370,
2019-01-06,0.003353,0.004392,0.002729,0.003607,15352,
2019-01-07,0.003626,0.004374,0.003331,0.00334,9626,
2019-01-08,0.003345,0.004292,0.002677,0.002955,7153,
2019-01-09,0.002959,0.003731,0.002879,0.003112,10387,
2019-01-10,0.003175,0.003434,0.001173,0.001703,26236,
2019-01-11,0.001817,0.001828,0.000953,0.001074,9695,
2019-01-12,0.001072,0.001522,0.00102,0.001376,4146,
2019-01-13,0.001376,0.001592,0.001106,0.001245,3812,
2019-01-14,0.001245,0.001736,0.001245,0.001462,6764,
2019-01-15,0.00146,0.001519,0.001244,0.001289,2645,
2019-01-16,0.001291,0.001513,0.001239,0.001347,3531,
2019-01-17,0.00147,0.001512,0.001168,0.001176,1857,
2019-01-18,0.001174,0.001463,0.000962,0.001131,6643,
2019-01-19,0.001131,0.001218,0.000971,0.001218,544,
2019-01-20,0.001217,0.001229,0.000988,0.001006,4587,
2019-01-21,0.001005,0.001202,0.000999,0.001013,1168,
2019-01-22,0.001016,0.001153,0.000952,0.000973,2688,
2019-01-23,0.000949,0.00114,0.000813,0.00095,6974,
2019-01-24,0.000947,0.001072,0.000818,0.000986,4316,
2019-01-25,0.000984,0.001006,0.000825,0.001,2249,
2019-01-26,0.000995,0.001011,0.000747,0.000883,5033,
2019-01-27,0.000907,0.000933,0.00062,0.000801,6630,
2019-01-28,0.000801,0.000802,0.000563,0.000717,3202,
2019-01-29,0.000747,0.00075,0.000562,0.000671,2675,
2019-01-30,0.000669,0.000732,0.000637,0.000642,2066,
2019-01-31,0.000642,0.000776,0.000642,0.000752,929,
2019-02-01,0.000753,0.000797,0.000639,0.000762,1968,
2019-02-02,0.0007,0.000796,0.000699,0.000791,446,
2019-02-03,0.000789,0.000979,0.000752,0.000822,6792,
2019-02-04,0.000822,0.001374,0.00082,0.001036,3549,
2019-02-05,0.001035,0.001498,0.001018,0.001393,8503,
2019-02-06,0.001397,0.001397,0.000884,0.00119,5406,
2019-02-07,0.001192,0.001302,0.000918,0.001269,7819,
2019-02-08,0.00127,0.00148,0.001117,0.001421,6781,
2019-02-09,0.001422,0.001426,0.001242,0.001253,10253,
2019-02-10,0.001254,0.001371,0.000791,0.001149,29098,
2019-02-11,0.001153,0.001287,0.000671,0.00101,15531,
2019-02-12,0.001008,0.001063,0.000686,0.000931,12730,
2019-02-13,0.000931,0.001023,0.00068,0.000847,6749,
2019-02-14,0.000847,0.000926,0.000588,0.000629,12421,
2019-02-15,0.000628,0.000777,0.000584,0.000641,2881,
2019-02-16,0.000701,0.000704,0.000588,0.000632,2447,
2019-02-17,0.000632,0.000679,0.000584,0.000677,583,
2019-02-18,0.000676,0.000711,0.000641,0.00071,1604,
2019-02-19,0.000709,0.000736,0.000651,0.000675,1747,
2019-02-20,0.000676,0.000727,0.000622,0.000688,2170,
2019-02-21,0.000688,0.000725,0.000679,0.000684,1083,
2019-02-22,0.000684,0.000829,0.000678,0.000772,2089,
2019-02-23,0.000771,0.000802,0.000689,0.000795,2520,
2019-02-24,0.000796,0.000806,0.000664,0.000713,1360,
2019-02-25,0.000709,0.000733,0.000633,0.000662,592,
2019-02-26,0.00066,0.000699,0.000624,0.000651,24405,
2019-02-27,0.000652,0.000663,0.000619,0.00065,12762,
2019-02-28,0.000649,0.000653,0.000638,0.000647,11712,
2019-03-01,0.000646,0.000665,0.00064,0.000652,11431,
2019-03-02,0.000652,0.000658,0.000608,0.000627,13150,
2019-03-03,0.000627,0.000665,0.000606,0.000658,11860,
2019-03-04,0.000656,0.000657,0.000621,0.000632,11578,
2019-03-05,0.000632,0.000635,0.000481,0.000545,4824,
2019-03-06,0.000545,0.000607,0.000496,0.000555,2988,
2019-03-07,0.000555,0.000589,0.000477,0.000513,1299,
2019-03-08,0.000514,0.000605,0.000493,0.000545,1384,
2019-03-09,0.000545,0.000626,0.000537,0.000544,1488,
